#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1901.05   -0.002096    0.022831    0.132465    0.025581  -0.0001625   0.0000000    0.261402    0.000000    0.019038    0.000000
   1901.10    0.020842    0.028297    0.092480    0.024079   0.0000263   0.0000000    0.261280    0.000000    0.019025    0.000000
   1901.15    0.018327    0.027959    0.103745    0.021516   0.0002084   0.0000000    0.260698    0.000000    0.017793    0.000000
   1901.20    0.056944    0.023554    0.110430    0.021219  -0.0002319   0.0000000    0.261268    0.000000    0.016178    0.000000
   1901.25    0.043515    0.021997    0.065003    0.021962   0.0001483   0.0000000    0.262370    0.000000    0.015584    0.000000
   1901.30    0.061382    0.018370    0.062941    0.019514   0.0001877   0.0000000    0.262339    0.000000    0.014761    0.000000
   1901.35    0.102908    0.019188    0.037919    0.019404  -0.0002552   0.0000000    0.262209    0.000000    0.013845    0.000000
   1901.40    0.082028    0.018701   -0.035402    0.021228   0.0001912   0.0000000    0.261544    0.000000    0.014545    0.000000
   1901.45    0.122468    0.017657   -0.030957    0.017563  -0.0000056   0.0000000    0.258834    0.000000    0.015214    0.000000
   1901.50    0.138104    0.019356   -0.028032    0.019467  -0.0000848   0.0000000    0.256237    0.000000    0.014970    0.000000
   1901.55    0.092831    0.020717   -0.106401    0.018840   0.0001478   0.0000000    0.253188    0.000000    0.015189    0.000000
   1901.60    0.069598    0.018278   -0.154104    0.017686   0.0000382   0.0000000    0.250787    0.000000    0.015306    0.000000
   1901.65    0.090755    0.016231   -0.123223    0.016966  -0.0001458   0.0000000    0.249005    0.000000    0.015138    0.000000
   1901.70    0.057019    0.017382   -0.113173    0.017004   0.0000856   0.0000000    0.248895    0.000000    0.016009    0.000000
   1901.75    0.004851    0.021677   -0.085553    0.018250  -0.0000086   0.0000000    0.249136    0.000000    0.015852    0.000000
   1901.80   -0.045630    0.022497   -0.083765    0.018285  -0.0002705   0.0000000    0.251047    0.000000    0.016058    0.000000
   1901.85   -0.069214    0.022224   -0.071923    0.019938   0.0002057   0.0000000    0.253125    0.000000    0.017161    0.000000
   1901.90   -0.058805    0.026246   -0.026171    0.021429  -0.0000527   0.0000000    0.255099    0.000000    0.017867    0.000000
   1901.95   -0.118313    0.022378    0.004131    0.020269  -0.0001691   0.0000000    0.255839    0.000000    0.018179    0.000000
   1902.00   -0.136007    0.024334    0.029171    0.022260   0.0002335   0.0000000    0.256339    0.000000    0.018568    0.000000
   1902.05   -0.139200    0.022645    0.065158    0.025479  -0.0000249   0.0000000    0.255647    0.000000    0.019035    0.000000
   1902.10   -0.130692    0.027259    0.128543    0.023964  -0.0001238   0.0000000    0.255928    0.000000    0.017626    0.000000
   1902.15   -0.128146    0.028366    0.182892    0.026541   0.0000384   0.0000000    0.255896    0.000000    0.016895    0.000000
   1902.20   -0.079867    0.018743    0.204040    0.020416  -0.0000090   0.0000000    0.256403    0.000000    0.015729    0.000000
   1902.25   -0.067607    0.021582    0.222352    0.023098  -0.0001567   0.0000000    0.257266    0.000000    0.014722    0.000000
   1902.30   -0.013930    0.017179    0.203322    0.017861   0.0001815   0.0000000    0.257876    0.000000    0.014304    0.000000
   1902.35    0.034196    0.018382    0.232828    0.018375   0.0000270   0.0000000    0.257131    0.000000    0.013848    0.000000
   1902.40    0.093407    0.016863    0.205072    0.018735  -0.0002494   0.0000000    0.255885    0.000000    0.013502    0.000000
   1902.45    0.150606    0.017303    0.166495    0.018516   0.0002396   0.0000000    0.253883    0.000000    0.014329    0.000000
   1902.50    0.192489    0.017216    0.126475    0.018429  -0.0001127   0.0000000    0.250851    0.000000    0.014713    0.000000
   1902.55    0.205525    0.018393    0.077299    0.018475  -0.0000895   0.0000000    0.248240    0.000000    0.014710    0.000000
   1902.60    0.199939    0.019684    0.028318    0.019207   0.0002628   0.0000000    0.245298    0.000000    0.014710    0.000000
   1902.65    0.171412    0.019646   -0.005919    0.016474  -0.0000052   0.0000000    0.244078    0.000000    0.014803    0.000000
   1902.70    0.157318    0.018006   -0.046193    0.019218  -0.0000429   0.0000000    0.243503    0.000000    0.014733    0.000000
   1902.75    0.085576    0.021001   -0.091061    0.022639   0.0001098   0.0000000    0.244088    0.000000    0.015543    0.000000
   1902.80    0.034269    0.018243   -0.108954    0.016392   0.0000501   0.0000000    0.245612    0.000000    0.015760    0.000000
